"Plot Title: 2"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 2262365, SEN S/N: 2262365)","Host Connected (LGR S/N: 2262365)","Coupler Attached (LGR S/N: 2262365)","Coupler Detached (LGR S/N: 2262365)","End Of File (LGR S/N: 2262365)"
51,2019/11/29 02:00:00 PM,21.187,,,,
52,2019/11/29 03:00:00 PM,21.282,,,,
53,2019/11/29 04:00:00 PM,21.282,,,,
54,2019/11/29 05:00:00 PM,21.187,,,,
55,2019/11/29 06:00:00 PM,21.187,,,,
56,2019/11/29 07:00:00 PM,20.996,,,,
57,2019/11/29 08:00:00 PM,20.996,,,,
58,2019/11/29 09:00:00 PM,15.760,,,,
59,2019/11/29 10:00:00 PM,10.846,,,,
60,2019/11/29 11:00:00 PM,10.455,,,,
61,2019/11/30 12:00:00 AM,10.455,,,,
62,2019/11/30 01:00:00 AM,10.455,,,,
63,2019/11/30 02:00:00 AM,10.455,,,,
64,2019/11/30 03:00:00 AM,10.455,,,,
65,2019/11/30 04:00:00 AM,10.455,,,,
66,2019/11/30 05:00:00 AM,10.455,,,,
67,2019/11/30 06:00:00 AM,10.455,,,,
68,2019/11/30 07:00:00 AM,10.455,,,,
69,2019/11/30 08:00:00 AM,10.455,,,,
70,2019/11/30 09:00:00 AM,15.760,,,,
71,2019/11/30 10:00:00 AM,20.615,,,,
72,2019/11/30 11:00:00 AM,20.996,,,,
73,2019/11/30 12:00:00 PM,20.996,,,,
74,2019/11/30 01:00:00 PM,21.091,,,,
75,2019/11/30 02:00:00 PM,21.091,,,,
76,2019/11/30 03:00:00 PM,21.091,,,,
77,2019/11/30 04:00:00 PM,21.091,,,,
78,2019/11/30 05:00:00 PM,20.901,,,,
79,2019/11/30 06:00:00 PM,20.901,,,,
80,2019/11/30 07:00:00 PM,20.901,,,,
81,2019/11/30 08:00:00 PM,20.901,,,,
82,2019/11/30 09:00:00 PM,15.760,,,,
83,2019/11/30 10:00:00 PM,10.846,,,,
84,2019/11/30 11:00:00 PM,10.455,,,,
85,2019/12/01 12:00:00 AM,10.455,,,,
86,2019/12/01 01:00:00 AM,10.455,,,,
87,2019/12/01 02:00:00 AM,10.455,,,,
88,2019/12/01 03:00:00 AM,10.455,,,,
89,2019/12/01 04:00:00 AM,10.455,,,,
90,2019/12/01 05:00:00 AM,10.455,,,,
91,2019/12/01 06:00:00 AM,10.455,,,,
92,2019/12/01 07:00:00 AM,10.455,,,,
93,2019/12/01 08:00:00 AM,10.455,,,,
94,2019/12/01 09:00:00 AM,15.569,,,,
95,2019/12/01 10:00:00 AM,20.519,,,,
96,2019/12/01 11:00:00 AM,20.901,,,,
97,2019/12/01 12:00:00 PM,20.901,,,,
98,2019/12/01 01:00:00 PM,20.996,,,,
99,2019/12/01 02:00:00 PM,20.901,,,,
100,2019/12/01 03:00:00 PM,20.901,,,,
101,2019/12/01 04:00:00 PM,20.996,,,,
102,2019/12/01 05:00:00 PM,20.901,,,,
103,2019/12/01 06:00:00 PM,20.901,,,,
104,2019/12/01 07:00:00 PM,20.901,,,,
105,2019/12/01 08:00:00 PM,20.901,,,,
106,2019/12/01 09:00:00 PM,15.664,,,,
107,2019/12/01 10:00:00 PM,10.748,,,,
108,2019/12/01 11:00:00 PM,10.455,,,,
109,2019/12/02 12:00:00 AM,10.455,,,,
110,2019/12/02 01:00:00 AM,10.455,,,,
111,2019/12/02 02:00:00 AM,10.455,,,,
112,2019/12/02 03:00:00 AM,10.455,,,,
113,2019/12/02 04:00:00 AM,10.455,,,,
114,2019/12/02 05:00:00 AM,10.455,,,,
115,2019/12/02 06:00:00 AM,10.455,,,,
116,2019/12/02 07:00:00 AM,10.455,,,,
117,2019/12/02 08:00:00 AM,10.455,,,,
118,2019/12/02 09:00:00 AM,15.664,,,,
119,2019/12/02 10:00:00 AM,20.615,,,,
120,2019/12/02 11:00:00 AM,20.996,,,,
121,2019/12/02 12:00:00 PM,20.901,,,,
122,2019/12/02 01:00:00 PM,20.901,,,,
123,2019/12/02 02:00:00 PM,20.901,,,,
124,2019/12/02 03:00:00 PM,20.901,,,,
125,2019/12/02 04:00:00 PM,20.901,,,,
126,2019/12/02 05:00:00 PM,21.091,,,,
127,2019/12/02 06:00:00 PM,20.996,,,,
128,2019/12/02 07:00:00 PM,20.996,,,,
129,2019/12/02 08:00:00 PM,20.996,,,,
130,2019/12/02 09:00:00 PM,15.664,,,,
131,2019/12/02 10:00:00 PM,10.651,,,,
132,2019/12/02 11:00:00 PM,10.455,,,,
133,2019/12/03 12:00:00 AM,10.357,,,,
134,2019/12/03 01:00:00 AM,10.357,,,,
135,2019/12/03 02:00:00 AM,10.455,,,,
136,2019/12/03 03:00:00 AM,10.357,,,,
137,2019/12/03 04:00:00 AM,10.455,,,,
138,2019/12/03 05:00:00 AM,10.357,,,,
139,2019/12/03 06:00:00 AM,10.357,,,,
140,2019/12/03 07:00:00 AM,10.455,,,,
141,2019/12/03 08:00:00 AM,10.357,,,,
142,2019/12/03 09:00:00 AM,15.760,,,,
143,2019/12/03 10:00:00 AM,20.710,,,,
144,2019/12/03 11:00:00 AM,20.996,,,,
145,2019/12/03 12:00:00 PM,20.996,,,,
146,2019/12/03 01:00:00 PM,22.142,,,,
147,2019/12/03 02:00:00 PM,20.901,,,,
148,2019/12/03 03:00:00 PM,20.710,,,,
149,2019/12/03 04:00:00 PM,20.710,,,,
150,2019/12/03 05:00:00 PM,20.710,,,,
151,2019/12/03 06:00:00 PM,20.710,,,,
152,2019/12/03 07:00:00 PM,20.710,,,,
153,2019/12/03 08:00:00 PM,20.710,,,,
154,2019/12/03 09:00:00 PM,16.046,,,,
155,2019/12/03 10:00:00 PM,11.236,,,,
156,2019/12/03 11:00:00 PM,10.357,,,,
157,2019/12/04 12:00:00 AM,10.259,,,,
158,2019/12/04 01:00:00 AM,10.161,,,,
159,2019/12/04 02:00:00 AM,10.161,,,,
160,2019/12/04 03:00:00 AM,10.161,,,,
161,2019/12/04 04:00:00 AM,10.161,,,,
162,2019/12/04 05:00:00 AM,10.161,,,,
163,2019/12/04 06:00:00 AM,10.161,,,,
164,2019/12/04 07:00:00 AM,10.259,,,,
165,2019/12/04 08:00:00 AM,10.161,,,,
166,2019/12/04 09:00:00 AM,14.804,,,,
167,2019/12/04 10:00:00 AM,19.662,,,,
168,2019/12/04 11:00:00 AM,20.519,,,,
169,2019/12/04 12:00:00 PM,20.615,,,,
170,2019/12/04 01:00:00 PM,20.615,,,,
171,2019/12/04 02:00:00 PM,20.710,,,,
172,2019/12/04 02:37:34 PM,,Logged,,,
173,2019/12/04 02:37:35 PM,,,Logged,,
174,2019/12/04 02:38:04 PM,,,,Logged,
175,2019/12/04 03:00:00 PM,21.760,,,,
176,2019/12/04 04:00:00 PM,21.760,,,,
177,2019/12/04 05:00:00 PM,21.760,,,,
178,2019/12/04 06:00:00 PM,21.760,,,,
179,2019/12/04 07:00:00 PM,21.760,,,,
180,2019/12/04 08:00:00 PM,21.760,,,,
181,2019/12/04 09:00:00 PM,16.237,,,,
182,2019/12/04 10:00:00 PM,11.431,,,,
183,2019/12/04 11:00:00 PM,10.748,,,,
184,2019/12/05 12:00:00 AM,10.651,,,,
185,2019/12/05 01:00:00 AM,10.651,,,,
186,2019/12/05 02:00:00 AM,10.651,,,,
187,2019/12/05 03:00:00 AM,10.651,,,,
188,2019/12/05 04:00:00 AM,10.553,,,,
189,2019/12/05 05:00:00 AM,10.553,,,,
190,2019/12/05 06:00:00 AM,10.651,,,,
191,2019/12/05 07:00:00 AM,10.651,,,,
192,2019/12/05 08:00:00 AM,10.553,,,,
193,2019/12/05 09:00:00 AM,16.046,,,,
194,2019/12/05 10:00:00 AM,20.901,,,,
195,2019/12/05 11:00:00 AM,21.664,,,,
196,2019/12/05 12:00:00 PM,21.760,,,,
197,2019/12/05 01:00:00 PM,21.760,,,,
198,2019/12/05 02:00:00 PM,22.046,,,,
199,2019/12/05 03:00:00 PM,21.760,,,,
200,2019/12/05 04:00:00 PM,21.664,,,,
201,2019/12/05 05:00:00 PM,21.664,,,,
202,2019/12/05 06:00:00 PM,21.664,,,,
203,2019/12/05 07:00:00 PM,21.664,,,,
204,2019/12/05 08:00:00 PM,21.664,,,,
205,2019/12/05 09:00:00 PM,16.046,,,,
206,2019/12/05 10:00:00 PM,11.139,,,,
207,2019/12/05 11:00:00 PM,10.553,,,,
208,2019/12/06 12:00:00 AM,10.357,,,,
209,2019/12/06 01:00:00 AM,10.357,,,,
210,2019/12/06 02:00:00 AM,10.357,,,,
211,2019/12/06 03:00:00 AM,10.357,,,,
212,2019/12/06 04:00:00 AM,10.357,,,,
213,2019/12/06 05:00:00 AM,10.357,,,,
214,2019/12/06 06:00:00 AM,10.357,,,,
215,2019/12/06 07:00:00 AM,10.357,,,,
216,2019/12/06 08:00:00 AM,10.357,,,,
217,2019/12/06 09:00:00 AM,15.569,,,,
218,2019/12/06 10:00:00 AM,20.234,,,,
219,2019/12/06 11:00:00 AM,21.282,,,,
220,2019/12/06 12:00:00 PM,21.473,,,,
221,2019/12/06 01:00:00 PM,21.569,,,,
222,2019/12/06 02:00:00 PM,21.378,,,,
223,2019/12/06 03:00:00 PM,21.473,,,,
224,2019/12/06 04:00:00 PM,21.473,,,,
225,2019/12/06 05:00:00 PM,21.473,,,,
226,2019/12/06 06:00:00 PM,21.378,,,,
227,2019/12/06 07:00:00 PM,21.378,,,,
228,2019/12/06 08:00:00 PM,21.378,,,,
229,2019/12/06 09:00:00 PM,16.237,,,,
230,2019/12/06 10:00:00 PM,11.528,,,,
231,2019/12/06 11:00:00 PM,10.651,,,,
232,2019/12/07 12:00:00 AM,10.455,,,,
233,2019/12/07 01:00:00 AM,10.357,,,,
234,2019/12/07 02:00:00 AM,10.357,,,,
235,2019/12/07 03:00:00 AM,10.357,,,,
236,2019/12/07 04:00:00 AM,10.357,,,,
237,2019/12/07 05:00:00 AM,10.357,,,,
238,2019/12/07 06:00:00 AM,10.357,,,,
239,2019/12/07 07:00:00 AM,10.357,,,,
240,2019/12/07 08:00:00 AM,10.357,,,,
241,2019/12/07 09:00:00 AM,15.473,,,,
242,2019/12/07 10:00:00 AM,20.234,,,,
243,2019/12/07 11:00:00 AM,21.187,,,,
244,2019/12/07 12:00:00 PM,21.187,,,,
245,2019/12/07 01:00:00 PM,21.282,,,,
246,2019/12/07 02:00:00 PM,20.805,,,,
247,2019/12/07 03:00:00 PM,20.901,,,,
248,2019/12/07 04:00:00 PM,20.996,,,,
249,2019/12/07 05:00:00 PM,20.996,,,,
250,2019/12/07 06:00:00 PM,20.996,,,,
251,2019/12/07 07:00:00 PM,20.996,,,,
252,2019/12/07 08:00:00 PM,20.996,,,,
253,2019/12/07 09:00:00 PM,15.855,,,,
254,2019/12/07 10:00:00 PM,11.041,,,,
255,2019/12/07 11:00:00 PM,10.357,,,,
256,2019/12/08 12:00:00 AM,10.357,,,,
257,2019/12/08 01:00:00 AM,10.259,,,,
258,2019/12/08 02:00:00 AM,10.259,,,,
259,2019/12/08 03:00:00 AM,10.259,,,,
260,2019/12/08 04:00:00 AM,10.259,,,,
261,2019/12/08 05:00:00 AM,10.259,,,,
262,2019/12/08 06:00:00 AM,10.259,,,,
263,2019/12/08 07:00:00 AM,10.259,,,,
264,2019/12/08 08:00:00 AM,10.259,,,,
265,2019/12/08 09:00:00 AM,15.282,,,,
266,2019/12/08 10:00:00 AM,20.234,,,,
267,2019/12/08 11:00:00 AM,20.901,,,,
268,2019/12/08 12:00:00 PM,20.901,,,,
269,2019/12/08 01:00:00 PM,21.282,,,,
270,2019/12/08 02:00:00 PM,21.282,,,,
271,2019/12/08 03:00:00 PM,21.473,,,,
272,2019/12/08 04:00:00 PM,21.378,,,,
273,2019/12/08 05:00:00 PM,21.378,,,,
274,2019/12/08 06:00:00 PM,21.378,,,,
275,2019/12/08 07:00:00 PM,21.378,,,,
276,2019/12/08 08:00:00 PM,21.378,,,,
277,2019/12/08 09:00:00 PM,16.427,,,,
278,2019/12/08 10:00:00 PM,11.722,,,,
279,2019/12/08 11:00:00 PM,10.651,,,,
280,2019/12/09 12:00:00 AM,10.455,,,,
281,2019/12/09 01:00:00 AM,10.357,,,,
282,2019/12/09 02:00:00 AM,10.259,,,,
283,2019/12/09 03:00:00 AM,10.259,,,,
284,2019/12/09 04:00:00 AM,10.357,,,,
285,2019/12/09 05:00:00 AM,10.259,,,,
286,2019/12/09 06:00:00 AM,10.357,,,,
287,2019/12/09 07:00:00 AM,10.357,,,,
288,2019/12/09 08:00:00 AM,10.357,,,,
289,2019/12/09 09:00:00 AM,15.282,,,,
290,2019/12/09 10:00:00 AM,20.138,,,,
291,2019/12/09 11:00:00 AM,21.091,,,,
292,2019/12/09 12:00:00 PM,21.282,,,,
293,2019/12/09 01:00:00 PM,21.282,,,,
294,2019/12/09 02:00:00 PM,21.569,,,,
295,2019/12/09 03:00:00 PM,21.760,,,,
296,2019/12/09 04:00:00 PM,21.760,,,,
297,2019/12/09 05:00:00 PM,21.855,,,,
298,2019/12/09 05:05:40 PM,,Logged,Logged,,
299,2019/12/09 05:05:51 PM,,Logged,,,Logged
